OBJECTID,ZIP,FILENUM,UOFNum,OCCURRED_D,OCCURRED_T,CURRENT_BA,OffSex,OffRace,HIRE_DT,OFF_INJURE,OffCondTyp,OFF_HOSPIT,SERVICE_TY,ForceType,UOF_REASON,Cycles_Num,ForceEffec,STREET_N,STREET,street_g,street_t,Address,CitNum,CitRace,CitSex,CIT_INJURE,CitCondTyp,CIT_ARREST,CIT_INFL_A,CitChargeT,Council District,RA,BEAT,SECTOR,DIVISION,X,Y,GeoLocation,Council Districts--Test,Dallas City Limits GIS Layer
2484,75287,UF2019-1506,60314,09/05/2019,4:09 PM,11083,Male,White,09/23/2015,false,No injuries noted or visible,false,Service Call,Hand Controlled Escort,Property Destruction,NULL,Yes,17717,Vail,NULL,St.,17717 Vail St.,59867,Black,Male,true,Laceration/Cut,true,Unknown,APOWW,D12,6059,613,610,NORTH CENTRAL,2475100.769,7046686.156,POINT (-96.847876 32.989673),14,3
1312,75208,UF2019-0828,55894,03/12/2019,8:05 PM,10520,Male,White,04/10/2013,false,No injuries noted or visible,false,Arrest,Joint Locks,Arrest,NULL,Yes,224,Page,W,Ave.,224 W Page Ave.,57779,Hispanic,Male,false,No injuries noted or visible,true,Mentally unstable,APOWW,D1,4141,446,440,SOUTHWEST,2483438.394,6956308.728,POINT (-96.825744 32.740171),1,3
2699,75287,UF2019-1634,62018,11/18/2019,7:15 PM,10439,Male,White,09/26/2012,false,No injuries noted or visible,false,Service Call,Weapon display at Person,Arrest,NULL,Yes,18788,Marsh,NULL,Ln.,18788 Marsh Ln.,60674,Black,Male,false,No injuries noted or visible,true,NULL,Assault/FV,D12,4423,612,610,NORTH CENTRAL,2472079.833,7053220.185,POINT (-96.857171 33.006965),14,3
1136,75226,UF2019-0730,"56643, 56644, 56645",04/12/2019,7:03 PM,11174,Male,Asian,04/06/2016,false,No injuries noted or visible,false,Arrest,"Verbal Command, Take Down - Group, Handcuffing Take Down",Arrest,NULL,"No, Yes, Yes",2600,MAIN,NULL,St.,2600 MAIN St.,58172,White,Male,false,No injuries noted or visible,true,Unknown Drugs,"Public Intoxication, Resisting Arrest, Warrant/Hold",D2,2078,153,150,CENTRAL,2495144.791,6972223.112,POINT (-96.78614 32.783384),2,3
2322,75211,UF2019-1395,"58312, 58313, 58314",06/15/2019,1:50 AM,10748,Male,White,01/29/2014,false,No injuries noted or visible,false,Arrest,"Taser, Verbal Command, Foot Pursuit",Arrest,1,"No, No, Yes",3511,Davis,W,St.,3511 W Davis St.,5891548506,Black,Male,true,Abrasion/Scrape,true,Unknown,"Evading Arrest, Theft",D3,4544,416,410,SOUTHWEST,2467374.018,6959526.503,POINT (-96.877104 32.749591),3,3
2199,75211,UF2019-1335,60914,09/23/2019,1:20 AM,11464,Male,Hispanic,02/21/2018,false,No injuries noted or visible,false,Service Call,Foot Pursuit,Arrest,NULL,Yes,3228,Grafton,NULL,Ave.,3228 Grafton Ave.,6006060061,Hispanic,Male,false,Hospital Drug Evaluation,true,Agitated,Evading Arrest,D1,4158,441,440,SOUTHWEST,2468692.545,6952640.671,POINT (-96.87399 32.730665),1,3
1746,75240,UF2019-1083,59473,07/31/2019,12:50 AM,11319,Male,White,05/17/2017,false,No injuries noted or visible,false,Arrest,Take Down - Arm,Danger to self or others,NULL,Yes,8600,Midpark,NULL,Rd.,8600 Midpark Rd.,59459,Black,Male,false,No injuries noted or visible,true,Unknown Drugs,APOWW,D11,1022,644,640,NORTH CENTRAL,2503349.932,7028082.449,POINT (-96.755736 32.936479),10,3
835,75216,UF2019-0544,"56405, 56406, 56407",04/02/2019,3:25 PM,11068,Male,Black,08/12/2015,false,No injuries noted or visible,false,Arrest,"Verbal Command, Hand/Arm/Elbow Strike, Handcuffing Take Down",Active Aggression,NULL,"No, No, No",2837,Ledbetter,E,Dr.,2837 E Ledbetter Dr.,52292,Black,Male,false,No injuries noted or visible,true,Poor hygiene,"Warrant/Hold, Resisting Search and Transport",D4,4307,734,730,SOUTH CENTRAL,2499652.896,6939805.111,POINT (-96.773219 32.694043),4,3
983,75233,UF2019-0631,57705,05/22/2019,12:00 AM,8976,Male,Black,11/15/2006,true,No injuries noted or visible,false,Service Call,Taser Display at Person,Active Aggression,NULL,Yes,2400,Ledbetter,W,Dr.,2400 W Ledbetter Dr.,58638,NULL,Male,false,No injuries noted or visible,true,NULL,"Crim Trespass/Bldg/Prop, Assault/Public Servant",D3,4315,456,450,SOUTHWEST,2473848.27,6938343.132,POINT (-96.857445 32.691167),3,3
2634,75215,UF2019-1598,"61062, 61063, 61064",10/04/2019,2:30 AM,10503,Male,White,04/10/2013,false,No injuries noted or visible,false,Arrest,"BD - Pushed, Hand/Arm/Elbow Strike, Verbal Command",Arrest,NULL,"Yes, Yes, Yes",3800,Waldron,NULL,Ave.,3800 Waldron Ave.,60196,Black,Male,false,Treated by DFD,true,Unknown,Evading Arrest,D7,2172,345,340,SOUTHEAST,2501679.509,6963281.395,POINT (-96.76554800000001 32.758524),7,3
2170,75211,UF2019-1335,60872,09/23/2019,1:20 AM,11333,Male,White,05/31/2017,false,No injuries noted or visible,false,Service Call,Foot Pursuit,Arrest,NULL,Yes,3228,Grafton,NULL,Ave.,3228 Grafton Ave.,6006060061,Hispanic,Male,false,No injuries noted or visible,true,Agitated,Evading Arrest,D1,4158,441,440,SOUTHWEST,2468692.545,6952640.671,POINT (-96.87399 32.730665),1,3
2126,75224,UF2019-1323,"59017, 59018, 59019",07/07/2019,2:02 AM,10443,Male,Hispanic,07/13/2011,false,No injuries noted or visible,false,Service Call,"BD - Pushed, Take Down - Arm, Joint Locks",Arrest,NULL,"Yes, Yes, Yes",400,Illinois,W,Ave.,400 W Illinois Ave.,50281,NULL,Female,false,No injuries noted or visible,true,Mentally unstable,APOWW,D4,4213,453,450,SOUTHWEST,2482520.318,6949091.735,POINT (-96.828244 32.72033),4,3
806,75244,UF2019-0524,"57368, 57369, 57370",05/07/2019,10:02 PM,8908,Male,Hispanic,08/11/2006,false,No injuries noted or visible,false,Arrest,"Verbal Command, Hand Controlled Escort, Held Suspect Down",Danger to self or others,NULL,"No, Yes, Yes",4100,LBJ,NULL,Frwy.,4100 LBJ Frwy.,58488,White,Male,false,No injuries noted or visible,true,Alchohol,DWI,D13,3008,555,550,NORTHWEST,2477552.37,7023180.685,,,
2863,75215,UF2019-1728,"62669, 62696",12/20/2019,10:45 PM,11489,Male,White,02/21/2018,false,No injuries noted or visible,false,Service Call,"Taser Display at Person, BD - Grabbed",Weapon Display,NULL,"Yes, No",3333,Edgewood,NULL,St.,3333 Edgewood St.,61036,Black,Female,false,No injuries noted or visible,false,Agitated,No Arrest,D7,2159,345,340,SOUTHEAST,2500129.925,6964850.28,POINT (-96.770976 32.763363),7,3
2914,75241,UF2019-1787,61555,10/26/2019,9:00 AM,9447,Male,White,04/30/2008,false,No injuries noted or visible,false,Arrest,BD - Grabbed,Arrest,NULL,Yes,6241,Highland Hills,NULL,Dr.,6241 Highland Hills Dr.,42144,Black,Male,false,No injuries noted or visible,true,Agitated,"Drug Possession - Misdemeanor, Unauthorize Use Vehicle, Warrant/Hold, Other Misdemeanor Arrest",D8,4357,737,730,SOUTH CENTRAL,2503825.558,6931649.702,POINT (-96.76679300000002 32.674972000000004),8,3
707,75227,UF2019-0470,"56805, 56806",04/19/2019,10:05 PM,11071,Male,White,08/26/2015,false,No injuries noted or visible,false,Crime in Progress,"Weapon display at Person, Verbal Command",Weapon Display,NULL,"Yes, Yes",4600,SAMUELL,NULL,Blvd.,4600 SAMUELL Blvd.,58246582475825458255582565825758258,Hispanic,Male,false,No injuries noted or visible,false,None detected,No Arrest,D7,1215,316,310,SOUTHEAST,2516243.371,6976243.021,,,
1642,75230,UF2019-1017,59163,07/17/2019,4:45 PM,10224,Male,White,08/18/2010,false,No injuries noted or visible,false,Arrest,Taser,Active Aggression,1,Yes,7808,Clodus Field,NULL,Dr.,7808 Clodus Field Dr.,59302,Black,Male,true,"Puncture, Treated by DFD",true,Agitated,"APOWW, Assault",D11,8822,651,650,NORTH CENTRAL,2498615.507,7019642.714,POINT (-96.772259 32.913541),10,3
102,75228,UF2019-0068,54628,01/16/2019,11:55 PM,10767,Male,White,03/12/2014,false,No injuries noted or visible,false,Arrest,Held Suspect Down,Arrest,NULL,Yes,8117,RL Thornton,E,Frwy.,8117 E RL Thornton Frwy.,57214,White,Male,false,No injuries noted or visible,true,Alchohol and unknown drugs,"Evading Arrest, Resisting Arrest",D7,1201,238,230,NORTHEAST,2521063.66,6976574.12,POINT (-96.700921 32.794468),7,3
2162,75211,UF2019-1335,60868,09/23/2019,1:20 AM,8163,Male,Hispanic,01/25/2002,false,No injuries noted or visible,false,Service Call,Foot Pursuit,Arrest,NULL,Yes,3228,Grafton,NULL,Ave.,3228 Grafton Ave.,6006060061,Hispanic,Male,false,No injuries noted or visible,true,Agitated,Evading Arrest,D1,4158,441,440,SOUTHWEST,2468692.545,6952640.671,POINT (-96.87399 32.730665),1,3
704,75215,UF2019-0469,56787,04/18/2019,12:45 PM,10691,Male,Black,11/06/2013,false,No injuries noted or visible,false,Call for Cover,Taser,Detention/Frisk,3,Limited,2310,Martin luther King Jr,NULL,Blvd.,2310 Martin luther King Jr Blvd.,26160,Black,Male,true,"Taser Burn Marks, Treated by DFD",true,Agitated,Warrant/Hold,D7,2134,342,340,SOUTHEAST,2499133.859,6965473.862,POINT (-96.77348 32.764686),7,3
505,75217,UF2019-0327,"56496, 56497",04/07/2019,2:10 PM,9792,Female,White,03/18/2009,false,No injuries noted or visible,false,Arrest,"Taser, Handcuffing Take Down",Danger to self or others,2,"No, Yes",534,Ravenwood,NULL,Dr.,534 Ravenwood Dr.,58069,White,Male,true,"Abrasion/Scrape, Redness/Swelling",true,Mentally unstable,APOWW,D5,2203,337,330,SOUTHEAST,2530370.752,6949805.121,POINT (-96.672938 32.720732),5,3
861,75203,UF2019-0561,"56791, 56792, 56793",04/09/2019,3:25 AM,7972,Male,White,01/05/2001,false,No injuries noted or visible,false,Arrest,"Verbal Command, Take Down - Arm, Feet/Leg/Knee Strike",Arrest,NULL,"No, Yes, Yes",722,Blaylock,NULL,Dr.,722 Blaylock Dr.,20317,Black,Male,false,No injuries noted or visible,true,Unknown,Burglary/Habitation,D1,4099,411,410,SOUTHWEST,2485926.448,6962258.594,POINT (-96.816765 32.756864),1,3
1889,75235,UF2019-1171,"59515, 59516, 59517",07/30/2019,6:15 PM,10813,Male,Black,09/15/2014,false,No injuries noted or visible,false,Service Call,"Held Suspect Down, Verbal Command, BD - Grabbed",Arrest,NULL,"Yes, No, Yes",8600,Harry Hines,NULL,Blvd.,8600 Harry Hines Blvd.,59457,Black,Male,false,No injuries noted or visible,true,Unknown Drugs,Resisting Arrest,D2,3080,522,520,NORTHWEST,2470488.723,6991477.554,POINT (-96.86649000000001 32.838155),2,3
1177,75201,UF2019-0752,"57731, 57732, 61836",05/21/2019,1:47 AM,11278,Male,White,02/08/2017,false,No injuries noted or visible,false,Arrest,"Foot Pursuit, Held Suspect Down, Take Down - Body",Arrest,NULL,"Yes, Yes, Yes",2607,San Jacinto,NULL,St.,2607 San Jacinto St.,58624,White,Male,true,Non-Visible Injury/Pain,true,None detected,"Evading Arrest, Unauthorize Use Vehicle",D14,2030,132,130,CENTRAL,2492797.309,6974586.314,POINT (-96.79386 32.789827),12,3
1636,75243,UF2019-1012,"58988, 60061",07/08/2019,11:16 PM,11387,Male,White,09/06/2017,false,No injuries noted or visible,false,Arrest,"Held Suspect Down, Take Down - Group",Danger to self or others,NULL,"Yes, Yes",9301,Forest,NULL,Ln.,9301 Forest Ln.,33652,Black,Male,false,No injuries noted or visible,true,Mentally unstable,APOWW,D10,1030,252,250,NORTHEAST,2508893.035,7018266.017,POINT (-96.740013 32.909205),9,3
1820,75228,UF2019-1129,"59960, 59962",08/18/2019,11:38 PM,11465,Male,White,02/21/2018,false,No injuries noted or visible,false,Arrest,"OC Spray, Hand Controlled Escort",Active Aggression,NULL,"Yes, Yes",7229,Ferguson,NULL,Rd.,7229 Ferguson Rd.,59665,Black,Male,false,No injuries noted or visible,true,Agitated,"Assault/FV, Resisting Arrest",D9,1197,237,230,NORTHEAST,2514871.023,6976968.51,POINT (-96.721215 32.79592),7,3
709,75227,UF2019-0471,"56809, 56810, 56811, 56812",04/19/2019,9:35 AM,11449,Male,White,02/07/2018,true,Abrasion/Scrape,false,Arrest,"Take Down - Body, Hand Controlled Escort, Joint Locks, Held Suspect Down",Active Aggression,NULL,"Yes, Yes, Yes, Yes",8425,Forney,NULL,Rd.,8425 Forney Rd.,48748,Black,Male,true,Abrasion/Scrape,true,None detected,Warrant/Hold,D7,1218,323,320,SOUTHEAST,2529123.53,6970866.487,POINT (-96.676245 32.778018),7,3
1292,75205,UF2019-0814,"58617, 58618",06/24/2019,11:30 AM,10155,Female,White,07/06/2014,false,No injuries noted or visible,false,Service Call,"Weapon display at Person, Verbal Command",Other,NULL,"Yes, Yes",4242,Buena Vista,NULL,Dr.,4242 Buena Vista Dr.,56715,Black,Male,false,No injuries noted or visible,false,Unknown Drugs,No Arrest,D14,1158,125,120,CENTRAL,2492434.671,6984882.387,POINT (-96.794067 32.818866),12,3
1593,75240,UF2019-0985,59667,08/04/2019,6:05 AM,11487,Male,White,02/21/2018,false,No injuries noted or visible,false,Service Call,Foot Pursuit,Arrest,NULL,Yes,13700,Danvers,NULL,Dr.,13700 Danvers Dr.,59535,Black,Male,false,No injuries noted or visible,true,None detected,Evading Arrest,D11,1014,635,630,NORTH CENTRAL,2489913.224,7026705.741,POINT (-96.800404 32.93324),10,3
2460,75216,UF2019-1488,"61564, 61565",10/24/2019,2:24 PM,10667,Male,White,09/25/2013,true,No injuries noted or visible,false,Arrest,"Held Suspect Down, Verbal Command",Arrest,NULL,"Yes, No",3602,Lancaster,NULL,Rd.,3602 Lancaster Rd.,60444,Black,Male,true,Abrasion/Scrape,true,Unknown Drugs,"Resisting Search and Transport, Theft, Warrant/Hold, Drug Possession - Felony",D4,4283,726,720,SOUTH CENTRAL,2491612.696,6943518.315,POINT (-96.799182 32.704451),4,3
